epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,824.168,0.94124,3.52033,1.2702,0.41489,0.13298,0.25249,0.19198,0.87342,3.43632,1.20545,0.000234987,0.000234987,0.000234987
2,1644.14,1.01411,2.73291,1.28825,0.39652,0.34211,0.29294,0.19477,1.14158,3.3736,1.44974,0.000463622,0.000463622,0.000463622
3,2481.72,1.03353,2.61767,1.31203,0.36864,0.30114,0.27132,0.18252,1.11714,3.25754,1.42714,0.000682832,0.000682832,0.000682832
4,3352.31,1.08107,2.55833,1.357,0.40994,0.37597,0.35238,0.25225,1.07902,3.23019,1.42073,0.000671588,0.000671588,0.000671588
5,7804.87,1.06146,2.40906,1.31693,0.30644,0.40573,0.32292,0.22566,1.1233,2.75931,1.44032,0.000657451,0.000657451,0.000657451
